ID,SHAPE_TYPE
0,blank
1,square
2,square
3,star
4,square
5,blank
6,square
7,blank
8,blank
9,blank
10,circle
11,blank
12,blank
13,circle
14,square
15,star
16,square
17,blank
18,blank
19,square
20,blank
21,circle
22,star
23,star
24,star
25,square
26,blank
27,blank
28,blank
29,blank
30,blank
31,blank
32,blank
33,star
34,star
35,star
36,square
37,blank
38,circle
39,square
40,square
41,square
42,blank
43,blank
44,circle
45,star
46,blank
47,blank
48,star
49,blank
50,circle
51,blank
52,blank
53,blank
54,square
55,star
56,blank
57,blank
58,blank
59,circle
60,circle
61,blank
62,star
63,blank
64,circle
65,circle
66,blank
67,star
68,circle
69,blank
70,square
71,blank
72,square
73,square
74,blank
75,circle
76,circle
77,square
78,blank
79,star
80,circle
81,blank
82,blank
83,square
84,blank
85,square
86,star
87,star
88,star
89,blank
90,square
91,square
92,square
93,square
94,star
95,blank
96,star
97,blank
98,blank
99,star
100,square
101,star
102,blank
103,square
104,blank
105,star
106,blank
107,blank
108,star
109,star
110,circle
111,blank
112,blank
113,blank
114,star
115,circle
116,square
117,square
118,blank
119,blank
120,circle
121,star
122,circle
123,star
124,blank
125,square
126,square
127,star
128,square
129,blank
130,circle
131,blank
132,star
133,square
134,blank
135,star
136,circle
137,blank
138,blank
139,circle
140,square
141,square
142,square
143,blank
144,blank
145,circle
146,square
147,star
148,circle
149,star
150,circle
151,square
152,blank
153,star
154,circle
155,circle
156,star
157,blank
158,blank
159,blank
160,star
161,square
162,blank
163,blank
164,star
165,square
166,circle
167,circle
168,square
169,square
170,circle
171,circle
172,circle
173,blank
174,blank
175,square
176,square
177,circle
178,circle
179,circle
180,star
181,blank
182,circle
183,blank
184,square
185,star
186,blank
187,blank
188,blank
189,blank
190,circle
191,circle
192,circle
193,blank
194,blank
195,blank
196,circle
197,blank
198,square
199,star
200,star
201,square
202,blank
203,blank
204,circle
205,blank
206,star
207,blank
208,star
209,square
210,star
211,square
212,blank
213,star
214,blank
215,star
216,square
217,blank
218,blank
219,star
220,square
221,blank
222,star
223,square
224,star
225,square
226,blank
227,blank
228,square
229,star
230,blank
231,blank
232,square
233,blank
234,star
235,star
236,star
237,star
238,blank
239,circle
240,blank
241,blank
242,blank
243,circle
244,star
245,blank
246,blank
247,blank
248,star
249,circle
250,blank
251,circle
252,blank
253,circle
254,star
255,blank
256,blank
257,blank
258,blank
259,blank
260,circle
261,blank
262,circle
263,star
264,circle
265,square
266,square
267,circle
268,star
269,square
270,blank
271,star
272,square
273,circle
274,star
275,blank
276,circle
277,circle
278,blank
279,blank
280,blank
281,circle
282,circle
283,square
284,circle
285,circle
286,blank
287,blank
288,square
289,circle
290,star
291,blank
292,blank
293,star
294,square
295,blank
296,star
297,circle
298,star
299,square
300,square
301,square
302,blank
303,blank
304,star
305,blank
306,blank
307,circle
308,blank
309,blank
310,square
311,blank
312,blank
313,blank
314,star
315,circle
316,square
317,square
318,blank
319,blank
320,blank
321,star
322,star
323,star
324,blank
325,circle
326,circle
327,blank
328,blank
329,square
330,circle
331,star
332,blank
333,square
334,star
335,circle
336,circle
337,square
338,star
339,circle
340,blank
341,square
342,square
343,star
344,blank
345,blank
346,blank
347,square
348,blank
349,blank
350,square
351,circle
352,star
353,blank
354,blank
355,star
356,blank
357,circle
358,circle
359,circle
360,circle
361,square
362,square
363,circle
364,blank
365,star
366,blank
367,square
368,blank
369,blank
370,blank
371,blank
372,square
373,blank
374,blank
375,blank
376,blank
377,blank
378,circle
379,blank
380,square
381,circle
382,blank
383,blank
384,blank
385,blank
386,blank
387,blank
388,blank
389,circle
390,blank
391,circle
392,blank
393,circle
394,blank
395,star
396,blank
397,blank
398,star
399,blank
400,blank
401,star
402,blank
403,blank
404,square
405,star
406,circle
407,square
408,blank
409,blank
410,circle
411,star
412,blank
413,square
414,square
415,circle
416,blank
417,star
418,square
419,blank
420,blank
421,star
422,star
423,blank
424,circle
425,blank
426,circle
427,square
428,blank
429,blank
430,blank
431,square
432,circle
433,circle
434,circle
435,blank
436,blank
437,star
438,blank
439,blank
440,blank
441,circle
442,square
443,square
444,blank
445,blank
446,blank
447,star
448,blank
449,blank
450,blank
451,blank
452,blank
453,circle
454,square
455,square
456,blank
457,circle
458,circle
459,star
460,blank
461,star
462,blank
463,square
464,circle
465,square
466,star
467,circle
468,star
469,blank
470,blank
471,blank
472,circle
473,star
474,circle
475,star
476,star
477,blank
478,blank
479,star
480,square
481,blank
482,star
483,blank
484,star
485,blank
486,square
487,blank
488,blank
489,circle
490,star
491,square
492,star
493,blank
494,square
495,blank
496,blank
497,blank
498,blank
499,star
500,square
501,blank
502,blank
503,square
504,square
505,circle
506,square
507,circle
508,square
509,blank
510,blank
511,blank
512,square
513,blank
514,square
515,blank
516,blank
517,blank
518,square
519,star
520,square
521,star
522,blank
523,circle
524,circle
525,circle
526,blank
527,square
528,circle
529,circle
530,blank
531,blank
532,circle
533,blank
534,blank
535,circle
536,square
537,blank
538,circle
539,circle
540,circle
541,star
542,star
543,circle
544,blank
545,square
546,blank
547,circle
548,circle
549,star
550,square
551,star
552,blank
553,square
554,square
555,blank
556,blank
557,circle
558,square
559,circle
560,star
561,circle
562,star
563,blank
564,star
565,blank
566,blank
567,blank
568,blank
569,blank
570,blank
571,blank
572,blank
573,circle
574,circle
575,blank
576,blank
577,blank
578,blank
579,circle
580,blank
581,star
582,blank
583,blank
584,square
585,star
586,blank
587,blank
588,star
589,star
590,circle
591,star
592,star
593,square
594,blank
595,star
596,blank
597,blank
598,square
599,circle
600,blank
601,circle
602,star
603,square
604,blank
605,star
606,star
607,star
608,star
609,star
610,circle
611,square
612,circle
613,blank
614,star
615,square
616,blank
617,star
618,blank
619,blank
620,circle
621,circle
622,blank
623,blank
624,square
625,square
626,blank
627,square
628,blank
629,blank
630,circle
631,circle
632,square
633,blank
634,circle
635,circle
636,blank
637,blank
638,blank
639,blank
640,blank
641,circle
642,blank
643,star
644,star
645,blank
646,square
647,blank
648,star
649,square
650,square
651,star
652,star
653,blank
654,star
655,circle
656,star
657,star
658,blank
659,blank
660,circle
661,blank
662,star
663,circle
664,circle
665,star
666,square
667,star
668,blank
669,square
670,blank
671,blank
672,blank
673,square
674,star
675,blank
676,circle
677,blank
678,square
679,star
680,circle
681,circle
682,star
683,circle
684,blank
685,blank
686,blank
687,square
688,blank
689,circle
690,blank
691,star
692,circle
693,blank
694,blank
695,circle
696,square
697,circle
698,square
699,star
700,circle
701,star
702,circle
703,blank
704,square
705,circle
706,star
707,circle
708,blank
709,star
710,blank
711,square
712,star
713,blank
714,square
715,square
716,circle
717,star
718,star
719,square
720,blank
721,star
722,blank
723,circle
724,square
725,star
726,star
727,circle
728,square
729,star
730,circle
731,blank
732,blank
733,square
734,blank
735,circle
736,circle
737,blank
738,star
739,blank
740,blank
741,star
742,blank
743,blank
744,circle
745,circle
746,square
747,square
748,star
749,circle
750,star
751,blank
752,star
753,blank
754,blank
755,square
756,circle
757,circle
758,square
759,blank
760,square
761,star
762,blank
763,star
764,blank
765,blank
766,square
767,blank
768,circle
769,blank
770,circle
771,blank
772,blank
773,blank
774,blank
775,square
776,blank
